Nivel	Id_Direccion	Desc_Direccion	Id_Clave
5	A0000          	RECTORADO    	5-A0000          
5	A0005          	ADMINISTRACION DE RECTORADO	5-A0005          
5	A0008          	 GRUPO DE SERVICIOS	5-A0008          
5	A0010          	RECTORADO   GRUPO (ETSC)	5-A0010          
5	A0020          	GRUPO DE AUDITORIA	5-A0020          
5	a0030          	GRUPO DE ASESORIA TECNICA	5-a0030          
5	A0040          	DEPARTAMENTO DE PLANIFICACIÓN Y ORGANIZACIÓN	5-A0040          
5	A0050          	DEPARTAMENTO DE INFORMACIÓN Y ESTADÍSTICAS	5-A0050          
5	A1000          	RECTORADO SECRETARIA GENERAL   	5-A1000          
5	A1020          	DEPARTAMENTO  JURIDICO	5-A1020          
5	A1030          	GRUPO DE CONTROL ACADEMICO DE PREGRADO	5-A1030          
5	A1100          	RECTORADO SECRETARIA GENERAL ARCHIVO CENTRAL  	5-A1100          
5	A1200          	RECTORADO  COMISION PROV INGRESO	5-A1200          
5	A2000          	RECTORADO RECURSOS HUMANOS   	5-A2000          
5	A2010          	RECTORADO RECURSOS HUMANOS  CUADROS 	5-A2010          
5	A2015          	RECTORADO RECURSOS HUMANOS GRUPO (ATENCION A PROFESORES)	5-A2015          
5	A2100          	RECTORADO RECURSOS HUMANOS GRUPO (CONTRATACION)	5-A2100          
5	A2110          	RECTORADO RECURSOS HUMANOS RECURSOS HUMANOS RECURSOS LABORALES 	5-A2110          
5	A2120          	RECTORADO RECURSOS HUMANOS RECURSOS HUMANOS OTS Y PHT 	5-A2120          
5	A3000          	RECTORADO ECONOMIA   	5-A3000          
5	A3010          	AREA  DOCENTE	5-A3010          
5	A3020          	ADMINISTRACION	5-A3020          
5	A3025          	GRUPO DE GESTION CONTABLE- FINANCIERA	5-A3025          
5	A3030          	GRUOI DE REDES Y SERVICIOS TELEMATICOS	5-A3030          
5	A3032          	GRUPO DE SEGURIDAD INFORMATICA	5-A3032          
5	A3035          	GRUPO DE SERVICIOS TECNICOS	5-A3035          
5	A3040          	GRUPO DE TECNOLOGIA EDUCATIVA	5-A3040          
5	A3100          	RECTORADO ECONOMIA PLANIFICACION Y EST.  	5-A3100          
5	A3110          	RECTORADO ECONOMIA PLANIFICACION Y EST. PLANIFICACION 	5-A3110          
5	A3200          	RECTORADO ECONOMIA CONTABILIDAD  	5-A3200          
5	A3210          	RECTORADO ECONOMIA CONTABILIDAD CONTABILIDAD 	5-A3210          
5	A3230          	RECTORADO ECONOMIA CONTABILIDAD CONTROL DE INVENTAR. 	5-A3230          
5	A4000          	RECTORADO C.E.M.I.   	5-A4000          
5	A5000          	RECTORADO C.E.SALUD Y BIENESTAR HUMANO	5-A5000          
5	A6000          	RECTORADO C.E.(FLACSO).   	5-A6000          
5	A6010          	ADMINISTRACION	5-A6010          
5	A7000          	CENTRO DE ESTUDIOS TURISTICOS	5-A7000          
5	A7002          	SECRETARIA DE FACULTAD	5-A7002          
5	A7004          	ADMINISTRACION	5-A7004          
5	A7005          	DEPARTAMENTO DOCENTE CETUR.	5-A7005          
5	A7006          	CENTRO DE ESTUDIOS TURISTICO	5-A7006          
5	A7010          	ADMINISTRACIION	5-A7010          
5	A7020          	DEPARTAMENTO ENTIDADES DE HOSPITALIDAD	5-A7020          
5	A7030          	DEPARTAMENTO FORMACION BASICA	5-A7030          
5	A7040          	UNIDAD DOCENTE (SALVADOR ALLENDE)	5-A7040          
5	A7050          	UNIDAD DOCENTE (GIRON)	5-A7050          
5	A7060          	UNIDAD DOCENTE (TARARA)	5-A7060          
5	A7070          	UNIDAD DOCENTE (TULIPAN)	5-A7070          
5	A7080          	UNIDAD DOCENTE (EAEHT0)	5-A7080          
5	A7090          	UNIDAD DOCENTE (UCI)	5-A7090          
5	A8000          	DIRECCION DE PUBLICACIONES ACADEMICAS	5-A8000          
5	A8100          	GRUPO DOCENTE 	5-A8100          
5	A8200          	GRUPO DE EDICION	5-A8200          
5	A8300          	GRUPO ADMINISTRATIVO	5-A8300          
5	B0000          	VICERECTORIA (UNIVERSIALIZACION)	5-B0000          
5	B0001          	  GRUPO DE INFORMATIZACION	5-B0001          
5	B0002          	  GRUPO DE ESTUDIOS SOCIALES	5-B0002          
5	B0003          	 GRUPO DE ATENCION A (Diferido )	5-B0003          
5	B0004          	DIRECCION DOCENTE METODOLOGICA	5-B0004          
5	B0005          	 DIRECCION DE UNIVERSALIZACION	5-B0005          
5	B0007          	DEPARTAMENTO DE PREPARACION PARA LA DEFENSA	5-B0007          
5	B0009          	DIRECCION DE CALIDAD	5-B0009          
5	B0010          	AREA DOCENTE (SEDE MARIANAO)	5-B0010          
5	B0011          	SECRETARIA DOCENTE   	5-B0011          
5	B0012          	AREA  DOCENTE	5-B0012          
5	B0013          	ADMINISTRACION	5-B0013          
5	B0020          	AREA DOCENTE (SEDE BOYEROS)	5-B0020          
5	B0021          	SECRETARIA  DOCENTE	5-B0021          
5	B0022          	AREA  DOCENTE	5-B0022          
5	B0023          	ADMINISTRACION	5-B0023          
5	B0030          	AREA DOCENTE (SEDE LA LISA)	5-B0030          
5	b0031          	SECRETARIA  DOCENTE	5-b0031          
5	B0032          	AREA DOCENTE	5-B0032          
5	B0033          	ADMINISTRACION	5-B0033          
5	B0040          	AREA DOCENTE (SEDE COTORRO)	5-B0040          
5	B0041          	SECRETARIA DOCENTE	5-B0041          
5	B0042          	AREA DOCENTE	5-B0042          
5	B0043          	ADMINISTRACION	5-B0043          
